code,name,date,close,score,grade,phase,ready,breakout,leg_pct,retrace_pct,l1,h1,l2,ma_bullish,rsi,vol_ratio,buy_signal,stop_loss,tp1,tp2
601456,国联民生,2026-06-12,9.41,75,A,LEG1,True,False,17.1,-23.2,8.32,9.74,10.07,False,53.5,2.47,False,10.07,9.08,8.59
601600,中国铝业,2026-06-12,10.8,45,C,READY,True,False,178.1,48.9,5.7,15.85,10.89,False,38.6,0.81,False,10.89,25.77,33.21
601601,中国太保,2026-06-12,32.86,55,B,LEG1,True,False,227.0,56.7,14.8,48.39,29.34,False,33.9,1.44,False,29.34,86.49,115.06
601607,上海医药,2026-06-12,16.34,40,C,READY,True,False,20.3,39.6,14.46,17.39,16.23,False,30.8,0.86,False,16.23,19.71,21.45
601618,中国中冶,2026-06-12,2.68,40,C,LEG1,True,False,39.5,65.3,2.48,3.46,2.82,False,27.0,0.66,False,2.82,4.74,5.7
601628,中国人寿,2026-06-12,35.81,65,A,LEG1,True,False,118.4,52.1,23.77,51.92,37.26,False,43.1,2.02,False,37.26,81.24,103.23
601633,长城汽车,2026-06-12,17.6,55,B,LEG1,True,False,17.4,4.7,18.36,21.55,21.4,False,29.8,2.33,False,21.4,21.85,22.08
601658,邮储银行,2026-06-12,5.2,75,A,LEG1,True,False,79.3,17.2,2.94,5.27,4.87,False,62.4,1.35,False,4.87,6.07,6.67
601668,中国建筑,2026-06-12,4.77,40,C,LEG1,True,False,34.0,22.7,3.88,5.2,4.9,False,35.9,0.74,False,4.9,5.8,6.25
601669,中国电建,2026-06-12,4.82,40,C,LEG1,True,False,71.2,68.6,4.2,7.19,5.14,False,28.5,0.5,False,5.14,11.29,14.37
601688,华泰证券,2026-06-12,19.97,65,A,READY,True,False,155.2,52.4,10.09,25.75,17.54,False,59.6,1.54,False,17.54,42.17,54.48
601689,拓普集团,2026-06-12,60.62,70,A,READY,True,False,198.6,53.4,28.47,85.01,54.81,False,43.8,1.39,False,54.81,145.41,190.71
601788,光大证券,2026-06-12,14.29,55,B,READY,True,False,77.1,48.2,12.16,21.54,17.02,False,34.1,1.45,False,17.02,30.58,37.36
601808,中海油服,2026-06-12,12.51,40,C,LEG1,True,False,81.3,87.0,11.9,21.57,13.16,False,21.0,0.65,False,13.16,38.39,51.01
601818,光大银行,2026-06-12,3.23,67,A,LEG1,True,False,63.1,13.8,2.06,3.36,3.18,False,60.8,1.12,False,3.18,3.72,3.99
601825,沪农商行,2026-06-12,8.88,50,B,LEG1,True,False,143.1,24.3,3.85,9.36,8.02,False,54.1,0.8,False,8.02,12.04,14.05
601838,成都银行,2026-06-12,20.07,77,A,BREAKOUT,True,True,111.3,34.9,8.91,18.83,15.37,True,82.3,1.11,False,15.37,25.75,30.94
601857,中国石油,2026-06-12,10.38,60,B,LEG1,True,False,99.6,63.8,6.86,13.69,9.33,True,34.6,0.89,False,9.33,22.41,28.95
601868,中国能建,2026-06-12,2.65,65,A,READY,True,False,102.1,58.3,1.95,3.94,2.78,True,38.2,0.57,False,2.78,6.26,8.0
601877,正泰电器,2026-06-12,27.19,40,C,READY,True,False,173.5,42.6,15.19,41.54,30.32,False,29.7,0.82,False,30.32,63.98,80.81
601878,浙商证券,2026-06-12,9.3,47,C,LEG1,True,False,31.5,20.4,8.55,11.24,10.69,False,36.3,1.07,False,10.69,12.34,13.17
601881,中国银河,2026-06-12,12.4,47,C,LEG1,True,False,107.9,28.8,7.96,16.55,14.08,False,36.0,1.07,False,14.08,21.49,25.2
601888,中国中免,2026-06-12,58.49,55,B,LEG1,True,False,91.1,49.0,52.22,99.81,76.5,False,29.5,1.63,False,76.5,146.43,181.4
601898,中煤能源,2026-06-12,16.18,75,A,LEG1,True,False,119.7,69.1,9.0,19.77,12.33,True,47.9,0.92,False,12.33,34.65,45.81
601899,紫金矿业,2026-06-12,29.09,47,C,READY,True,False,381.7,42.5,9.33,44.94,29.8,False,28.8,1.15,False,29.8,75.22,97.93
601901,方正证券,2026-06-12,6.68,40,C,LEG1,True,False,41.1,34.1,5.98,8.44,7.6,False,32.7,0.95,False,7.6,10.12,11.38
601916,浙商银行,2026-06-12,3.08,85,S,LEG1,True,False,51.4,17.8,2.08,3.15,2.96,True,62.3,1.34,False,2.96,3.53,3.81
601919,中远海控,2026-06-12,14.57,62,B,LEG1,True,False,81.4,46.1,9.36,16.98,13.47,False,48.7,1.14,False,13.47,24.0,29.27
601939,建设银行,2026-06-12,10.7,77,A,LEG1,True,True,157.4,56.9,3.8,9.78,6.38,True,79.0,1.28,False,6.38,16.58,21.68
601988,中国银行,2026-06-12,6.29,77,A,LEG1,True,True,175.1,79.7,2.17,5.97,2.94,True,81.5,1.2,False,2.94,12.03,16.57
601995,中金公司,2026-06-12,32.82,47,C,READY,True,False,50.5,53.8,25.88,38.95,31.92,False,38.5,1.08,False,31.92,53.01,63.56
601998,中信银行,2026-06-12,7.68,45,C,LEG1,False,False,21.7,,6.91,8.41,,True,51.1,1.52,False,,,
603019,中科曙光,2026-06-12,82.15,40,C,READY,True,False,436.6,31.2,19.09,102.43,76.4,False,35.7,0.89,False,76.4,154.49,193.54
603195,公牛集团,2026-06-12,39.98,70,A,LEG1,True,False,31.8,44.6,32.94,43.4,38.73,False,44.7,1.41,False,38.73,52.74,59.75
603259,药明康德,2026-06-12,99.71,85,S,LEG1,True,False,241.1,34.2,33.1,112.92,85.6,True,50.4,1.45,False,85.6,167.56,208.54
603288,海天味业,2026-06-12,35.53,50,B,LEG1,True,False,37.2,68.8,30.94,42.45,34.53,False,40.1,0.97,False,34.53,58.29,70.17
603296,华勤技术,2026-06-12,102.77,87,S,BREAKOUT,True,False,221.0,40.9,34.59,111.03,79.75,True,50.0,1.28,False,79.75,173.59,220.51
603501,豪威集团,2026-06-12,86.01,47,C,LEG1,True,False,106.5,29.0,65.5,135.23,115.0,False,27.0,1.05,False,115.0,175.69,206.03
603799,华友钴业,2026-06-12,50.22,47,C,LEG1,True,False,254.9,33.5,19.82,70.35,53.43,False,28.1,1.14,False,53.43,104.19,129.57
603893,瑞芯微,2026-06-12,160.51,52,B,READY,True,False,444.3,37.5,38.49,209.51,145.45,False,39.2,1.05,False,145.45,337.63,433.72
603986,兆易创新,2026-06-12,481.47,77,A,BREAKOUT,True,True,510.6,34.1,54.11,330.41,236.11,True,85.5,1.02,False,236.11,519.01,660.46
603993,洛阳钼业,2026-06-12,19.11,77,A,READY,True,False,430.5,53.9,5.37,28.49,16.03,True,51.6,1.11,False,16.03,53.41,72.1
605117,德业股份,2026-06-12,103.79,87,S,LEG1,True,True,330.8,64.6,15.45,66.56,33.55,True,55.1,1.19,False,33.55,132.58,182.1
688008,澜起科技,2026-06-12,224.88,87,S,BREAKOUT,True,True,365.0,43.1,40.62,188.88,125.0,True,60.3,1.0,False,125.0,316.64,412.46
688012,中微公司,2026-06-12,303.92,95,S,BREAKOUT,True,True,281.8,35.8,69.78,266.41,195.96,True,67.9,1.86,True,195.96,407.31,512.99
688041,海光信息,2026-06-12,280.0,95,S,BREAKOUT,True,False,761.4,38.7,35.81,308.47,202.98,True,52.4,1.47,False,202.98,519.45,677.69
688047,龙芯中科,2026-06-12,140.56,77,A,LEG1,True,False,193.1,52.8,66.42,194.7,126.97,True,42.4,1.06,False,126.97,330.16,431.75
688082,盛美上海,2026-06-12,304.66,85,S,BREAKOUT,True,True,235.8,52.1,65.07,218.49,138.56,True,91.6,1.9,False,138.56,378.35,498.25
688126,沪硅产业,2026-06-12,29.59,85,S,BREAKOUT,True,True,105.3,39.0,12.18,25.0,20.0,True,84.4,3.01,False,20.0,35.0,42.5
688169,石头科技,2026-06-12,101.99,55,B,READY,True,False,117.1,62.0,76.11,165.21,110.0,False,30.7,1.69,False,110.0,275.63,358.45
688187,时代电气,2026-06-12,53.07,95,S,READY,True,False,121.7,42.9,28.03,62.14,47.51,True,46.5,1.9,False,47.51,91.4,113.35
688256,寒武纪,2026-06-12,1240.0,47,C,SCANNING,False,False,,,,,,True,71.6,1.28,False,,,
688271,联影医疗,2026-06-12,114.02,67,A,LEG1,True,False,64.7,44.5,91.67,150.99,124.61,False,44.5,1.07,False,124.61,203.75,243.32
688303,大全能源,2026-06-12,20.95,70,A,LEG1,True,False,48.9,-12.9,16.68,24.83,25.88,False,42.9,2.2,False,25.88,22.73,21.15
688396,华润微,2026-06-12,60.8,95,S,LEG1,True,False,115.0,67.4,32.98,70.9,45.36,True,56.7,1.5,False,45.36,121.98,160.29
688472,阿特斯,2026-06-12,11.2,40,C,READY,True,False,124.2,59.4,8.25,18.5,12.41,False,26.9,0.83,False,12.41,30.68,39.81
688506,百利天恒,2026-06-12,232.0,55,B,LEG1,True,False,440.9,33.2,61.11,330.55,241.23,False,33.9,1.31,False,241.23,509.19,643.17
688981,中芯国际,2026-06-12,124.88,87,S,BREAKOUT,True,False,272.0,44.2,36.2,134.68,91.2,True,56.0,1.2,False,91.2,221.64,286.86
