代码,周期,最新日期,收盘价,评分,等级,L1,H1,L2,首波涨幅%,回调幅度%,阶段,突破前高,均线多头,RSI,量比,止损价
000545,日线,2026-06-17,2.49,75,A,1.5,3.15,2.76,110.0,23.6,LEG1,否,否,48.9,1.67,2.7
000541,日线,2026-06-17,5.12,75,A,4.31,5.07,4.86,17.6,27.6,BREAKOUT,是,否,57.4,3.19,4.76
300902,日线,2026-06-17,17.08,75,A,14.16,18.8,17.06,32.8,37.5,BREAKOUT,否,否,68.5,1.41,16.72
601022,日线,2026-06-17,8.0,75,A,6.97,9.39,8.4,34.7,40.9,LEG1,否,否,47.8,1.53,8.23
601020,日线,2026-06-17,24.85,75,A,6.03,27.28,25.81,352.4,6.9,LEG1,否,否,57.5,1.79,25.29
301678,日线,2026-06-17,60.99,75,A,48.64,71.0,56.71,46.0,63.9,LEG1,否,否,58.1,1.47,55.58
301626,日线,2026-06-17,322.64,75,A,62.22,356.68,116.7,473.3,81.5,LEG1,否,是,63.1,0.74,114.37
002734,日线,2026-06-17,16.47,75,A,5.04,17.58,16.59,248.8,7.9,LEG1,否,否,56.3,1.65,16.26
002980,日线,2026-06-17,125.55,75,A,14.97,132.56,20.16,785.5,95.6,LEG1,否,是,62.4,0.99,19.76
002975,日线,2026-06-17,142.57,75,A,19.42,157.97,53.41,713.4,75.5,LEG1,否,是,63.6,0.9,52.34
600579,日线,2026-06-17,7.5,75,A,4.69,7.89,6.37,68.2,47.5,LEG1,否,否,69.9,1.97,6.24
002961,日线,2026-06-17,20.82,75,A,9.93,27.21,21.04,174.0,35.7,LEG1,否,否,52.5,1.34,20.62
002729,日线,2026-06-17,19.99,75,A,8.25,21.86,17.52,165.0,31.9,LEG1,否,否,67.7,1.42,17.17
300735,日线,2026-06-17,24.85,75,A,13.81,25.68,20.65,86.0,42.4,LEG1,否,否,73.8,1.37,20.24
300727,日线,2026-06-17,38.13,75,A,14.5,38.38,30.57,164.7,32.7,READY,否,否,74.5,2.72,29.96
600375,日线,2026-06-17,4.09,75,A,2.76,5.42,4.81,96.4,22.9,LEG1,否,否,43.4,1.91,4.71
688017,日线,2026-06-17,381.6,75,A,58.22,450.2,176.1,673.3,69.9,LEG1,否,是,57.7,0.77,172.58
000815,日线,2026-06-17,17.28,75,A,5.66,23.45,14.78,314.3,48.7,READY,否,否,59.0,1.75,14.48
000811,日线,2026-06-17,36.52,75,A,7.73,38.46,28.61,397.5,32.1,READY,否,是,69.7,0.23,28.04
000810,日线,2026-06-17,12.15,75,A,7.37,13.22,10.11,79.4,53.2,LEG1,否,否,69.0,1.8,9.91
300773,日线,2026-06-17,24.7,75,A,11.03,28.75,22.42,160.7,35.7,LEG1,否,否,61.6,1.34,21.97
