symbol,entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,qty,multiplier,atr_entry,pnl,r_mult,risk_amt,bars_held,exit_reason,equity_at_entry
AO0,5276,5284,2025-10-09 13:30:00,2025-10-10 01:30:00,1,2892.0,2871.4642878617456,2,20.0,17.46877249310108,-821.4284855301776,-0.7837113205431608,1048.1263495860649,8,stop,3062562.282622366
P0,5939,5956,2025-10-09 01:00:00,2025-10-10 05:30:00,1,9454.0,9494.0,1,10.0,52.65515464282187,400.0,0.5064398129215627,789.8273196423281,17,stop,3062432.9139128756
Y0,5940,5956,2025-10-09 01:30:00,2025-10-10 05:30:00,1,8280.0,8302.0,1,10.0,32.24694477150654,220.0,0.45482344980558165,483.70417157259806,16,stop,3061356.6158946888
AG0,4791,4795,2025-10-10 13:30:00,2025-10-10 15:30:00,1,11264.0,11132.876320955154,1,15.0,91.16268675656647,-1966.8551856726845,-0.9588987461868603,2051.1604520227456,4,stop,3067610.435110166
AG0,4797,4801,2025-10-10 16:30:00,2025-10-13 01:00:00,-1,11072.0,11250.0,1,15.0,93.43427907121713,-2670.0,-1.2700549289433378,2102.2712791023855,4,stop,3065643.5799244936
AO0,5285,5299,2025-10-10 02:00:00,2025-10-13 01:00:00,-1,2861.0,2825.9577099779713,2,20.0,13.957603235935352,1401.6916008811495,1.673749159254343,837.4561941561211,14,stop,3066990.435110166
CF0,5964,5969,2025-10-13 01:30:00,2025-10-13 06:00:00,-1,13245.0,13311.886565632101,2,5.0,51.637356425960775,-668.8656563210134,-0.8635423430064673,774.5603463894116,5,stop,3064375.2715253746
RB0,5964,5969,2025-10-13 01:30:00,2025-10-13 06:00:00,-1,3071.0,3085.895432561475,4,10.0,11.796454771016899,-595.8173024589996,-0.8418027760946208,707.787286261014,5,stop,3064375.2715253746
RU0,5960,5971,2025-10-10 13:30:00,2025-10-13 13:00:00,-1,15125.0,14990.0,1,10.0,80.01358675733124,1350.0,1.1248089686687337,1200.2038013599686,11,stop,3067610.435110166
M0,5976,5984,2025-10-14 01:30:00,2025-10-14 13:30:00,-1,2922.0,2908.8775199127185,5,10.0,11.252874277272399,656.1240043640737,0.7774298230503439,843.96557079543,8,stop,3064460.5885665948
